hashtags_found,mean_polarity,n_tweets
#sol,0.1507771164021164,6
#nvda,0.15002525252525253,6
#aiboom,0.11992183742183743,12
#crypto,0.0953851335195812,86
#aapl,0.0902181590339485,19
#xrp,0.09017053998632946,19
#btc,0.07571515001202501,48
#bitcoin,0.07371537106531335,113
#nasdaq,0.06135912698412698,6
#eth,0.05173207640312903,19
#altcoins,0.050694444444444445,9
#ethereum,0.04318012716450216,16
#solana,0.017431972789115645,7
#web3,0.016824924414210126,12
#trump,-0.010648148148148148,6
