hashtags_found,mean_polarity,n_tweets
#sol,0.22061011904761904,4
#technicalanalysis,0.16098484848484848,4
#xrp,0.148042328042328,7
#nvda,0.1269949494949495,6
#aiboom,0.11332912457912458,12
#eth,0.11265987800078708,11
#crypto,0.1086463373228079,51
#hpc,0.10794805194805193,5
#aapl,0.09433564973038656,19
#ethereum,0.08585858585858586,9
#btc,0.07649537962037961,26
#altcoins,0.06,5
#bitcoin,0.059495946761571765,56
#nasdaq,0.05660924723424723,6
#web3,-0.006206709956709956,6
